number	accession	filename
1	ERR4588499	1_ERR4588499_db3.bracken.kraken2.report_bracken.txt
2	ERR4588500	2_ERR4588500_db3.bracken.kraken2.report_bracken.txt
3	ERR4588501	3_ERR4588501_db3.bracken.kraken2.report_bracken.txt
4	ERR4588505	4_ERR4588505_db3.bracken.kraken2.report_bracken.txt
5	ERR4588507	5_ERR4588507_db3.bracken.kraken2.report_bracken.txt
6	ERR4588511	6_ERR4588511_db3.bracken.kraken2.report_bracken.txt
7	ERR4588513	7_ERR4588513_db3.bracken.kraken2.report_bracken.txt
8	ERR4588514	8_ERR4588514_db3.bracken.kraken2.report_bracken.txt
9	ERR4588520	9_ERR4588520_db3.bracken.kraken2.report_bracken.txt
10	ERR4588521	10_ERR4588521_db3.bracken.kraken2.report_bracken.txt
11	ERR4588523	11_ERR4588523_db3.bracken.kraken2.report_bracken.txt
12	ERR4588524	12_ERR4588524_db3.bracken.kraken2.report_bracken.txt
13	ERR4588525	13_ERR4588525_db3.bracken.kraken2.report_bracken.txt
14	ERR4588527	14_ERR4588527_db3.bracken.kraken2.report_bracken.txt
15	ERR4588529	15_ERR4588529_db3.bracken.kraken2.report_bracken.txt
16	ERR4588531	16_ERR4588531_db3.bracken.kraken2.report_bracken.txt
17	ERR4588538	17_ERR4588538_db3.bracken.kraken2.report_bracken.txt
18	ERR4588539	18_ERR4588539_db3.bracken.kraken2.report_bracken.txt
19	ERR4588541	19_ERR4588541_db3.bracken.kraken2.report_bracken.txt
20	ERR4588542	20_ERR4588542_db3.bracken.kraken2.report_bracken.txt
21	ERR4588544	21_ERR4588544_db3.bracken.kraken2.report_bracken.txt
22	ERR4588546	22_ERR4588546_db3.bracken.kraken2.report_bracken.txt
23	ERR4588547	23_ERR4588547_db3.bracken.kraken2.report_bracken.txt
24	ERR4588549	24_ERR4588549_db3.bracken.kraken2.report_bracken.txt
25	ERR4588550	25_ERR4588550_db3.bracken.kraken2.report_bracken.txt
26	ERR4588557	26_ERR4588557_db3.bracken.kraken2.report_bracken.txt
27	ERR4588559	27_ERR4588559_db3.bracken.kraken2.report_bracken.txt
28	ERR4588560	28_ERR4588560_db3.bracken.kraken2.report_bracken.txt
29	ERR4588563	29_ERR4588563_db3.bracken.kraken2.report_bracken.txt
30	ERR4588567	30_ERR4588567_db3.bracken.kraken2.report_bracken.txt
31	ERR4588568	31_ERR4588568_db3.bracken.kraken2.report_bracken.txt
32	ERR4588571	32_ERR4588571_db3.bracken.kraken2.report_bracken.txt
33	ERR4588574	33_ERR4588574_db3.bracken.kraken2.report_bracken.txt
34	ERR4588576	34_ERR4588576_db3.bracken.kraken2.report_bracken.txt
35	ERR4588585	35_ERR4588585_db3.bracken.kraken2.report_bracken.txt
36	ERR4588586	36_ERR4588586_db3.bracken.kraken2.report_bracken.txt
37	ERR4588588	37_ERR4588588_db3.bracken.kraken2.report_bracken.txt
38	ERR4588590	38_ERR4588590_db3.bracken.kraken2.report_bracken.txt
39	ERR4588593	39_ERR4588593_db3.bracken.kraken2.report_bracken.txt
40	ERR4588599	40_ERR4588599_db3.bracken.kraken2.report_bracken.txt
41	ERR4588600	41_ERR4588600_db3.bracken.kraken2.report_bracken.txt
42	ERR4588601	42_ERR4588601_db3.bracken.kraken2.report_bracken.txt
43	ERR4588604	43_ERR4588604_db3.bracken.kraken2.report_bracken.txt
44	ERR4588609	44_ERR4588609_db3.bracken.kraken2.report_bracken.txt
45	ERR4588611	45_ERR4588611_db3.bracken.kraken2.report_bracken.txt
46	ERR4588612	46_ERR4588612_db3.bracken.kraken2.report_bracken.txt
47	ERR4588613	47_ERR4588613_db3.bracken.kraken2.report_bracken.txt
48	ERR4588616	48_ERR4588616_db3.bracken.kraken2.report_bracken.txt
49	ERR4588617	49_ERR4588617_db3.bracken.kraken2.report_bracken.txt
50	ERR4588623	50_ERR4588623_db3.bracken.kraken2.report_bracken.txt
51	ERR4588627	51_ERR4588627_db3.bracken.kraken2.report_bracken.txt
52	ERR4588630	52_ERR4588630_db3.bracken.kraken2.report_bracken.txt
53	ERR4588631	53_ERR4588631_db3.bracken.kraken2.report_bracken.txt
54	ERR4588633	54_ERR4588633_db3.bracken.kraken2.report_bracken.txt
55	ERR4588637	55_ERR4588637_db3.bracken.kraken2.report_bracken.txt
56	ERR4588640	56_ERR4588640_db3.bracken.kraken2.report_bracken.txt
57	ERR4588641	57_ERR4588641_db3.bracken.kraken2.report_bracken.txt
58	ERR4588644	58_ERR4588644_db3.bracken.kraken2.report_bracken.txt
59	ERR4588648	59_ERR4588648_db3.bracken.kraken2.report_bracken.txt
60	ERR4588649	60_ERR4588649_db3.bracken.kraken2.report_bracken.txt
61	ERR4588650	61_ERR4588650_db3.bracken.kraken2.report_bracken.txt
62	ERR4588657	62_ERR4588657_db3.bracken.kraken2.report_bracken.txt
63	ERR4588661	63_ERR4588661_db3.bracken.kraken2.report_bracken.txt
64	ERR4588664	64_ERR4588664_db3.bracken.kraken2.report_bracken.txt
65	ERR4588665	65_ERR4588665_db3.bracken.kraken2.report_bracken.txt
66	ERR4588666	66_ERR4588666_db3.bracken.kraken2.report_bracken.txt
67	ERR4588669	67_ERR4588669_db3.bracken.kraken2.report_bracken.txt
68	ERR4588672	68_ERR4588672_db3.bracken.kraken2.report_bracken.txt
69	ERR4588674	69_ERR4588674_db3.bracken.kraken2.report_bracken.txt
70	ERR4588678	70_ERR4588678_db3.bracken.kraken2.report_bracken.txt
71	ERR4588679	71_ERR4588679_db3.bracken.kraken2.report_bracken.txt
72	ERR4588680	72_ERR4588680_db3.bracken.kraken2.report_bracken.txt
73	ERR4588682	73_ERR4588682_db3.bracken.kraken2.report_bracken.txt
74	ERR4588683	74_ERR4588683_db3.bracken.kraken2.report_bracken.txt
75	ERR4588690	75_ERR4588690_db3.bracken.kraken2.report_bracken.txt
76	ERR4588693	76_ERR4588693_db3.bracken.kraken2.report_bracken.txt
77	ERR4588694	77_ERR4588694_db3.bracken.kraken2.report_bracken.txt
78	ERR4588697	78_ERR4588697_db3.bracken.kraken2.report_bracken.txt
79	ERR4588703	79_ERR4588703_db3.bracken.kraken2.report_bracken.txt
80	ERR4588706	80_ERR4588706_db3.bracken.kraken2.report_bracken.txt
81	ERR4588710	81_ERR4588710_db3.bracken.kraken2.report_bracken.txt
82	ERR4588711	82_ERR4588711_db3.bracken.kraken2.report_bracken.txt
83	ERR4588715	83_ERR4588715_db3.bracken.kraken2.report_bracken.txt
84	ERR4588716	84_ERR4588716_db3.bracken.kraken2.report_bracken.txt
85	ERR4588717	85_ERR4588717_db3.bracken.kraken2.report_bracken.txt
86	ERR4588721	86_ERR4588721_db3.bracken.kraken2.report_bracken.txt
87	ERR4588726	87_ERR4588726_db3.bracken.kraken2.report_bracken.txt
88	ERR4588730	88_ERR4588730_db3.bracken.kraken2.report_bracken.txt
89	ERR4588735	89_ERR4588735_db3.bracken.kraken2.report_bracken.txt
90	ERR4588739	90_ERR4588739_db3.bracken.kraken2.report_bracken.txt
91	ERR4588741	91_ERR4588741_db3.bracken.kraken2.report_bracken.txt
92	ERR4588743	92_ERR4588743_db3.bracken.kraken2.report_bracken.txt
93	ERR4588745	93_ERR4588745_db3.bracken.kraken2.report_bracken.txt
166	ERR4588494	166_ERR4588494_db3.bracken.kraken2.report_bracken.txt
167	ERR4588495	167_ERR4588495_db3.bracken.kraken2.report_bracken.txt
168	ERR4588496	168_ERR4588496_db3.bracken.kraken2.report_bracken.txt
169	ERR4588502	169_ERR4588502_db3.bracken.kraken2.report_bracken.txt
