trait;type;category;;;
acidophilic;discreto;agronomico;;;
aerotolerant;discreto;agronomico;;;
ammonification: nitrate;discreto;agronomico;;;
ammonification: nitrite;discreto;agronomico;;;
builds gas from: nitrate;discreto;agronomico;;;
builds gas from: nitrite;discreto;agronomico;;;
carbon source: methane;discreto;agronomico;;;
carbon source: methanol;discreto;agronomico;;;
carbon source: methylamine;discreto;agronomico;;;
degradation: agar;discreto;agronomico;;;
degradation: agarose;discreto;agronomico;;;
degradation: alginate;discreto;agronomico;;;
degradation: arabinogalactan;discreto;agronomico;;;
degradation: aromatic compound;discreto;agronomico;;;
degradation: aromatic hydrocarbon;discreto;agronomico;;;
degradation: benzene;discreto;agronomico;;;
degradation: benzoate;discreto;agronomico;;;
degradation: carboxymethylcellulose;discreto;agronomico;;;
degradation: carrageenan;discreto;agronomico;;;
degradation: casein;discreto;agronomico;;;
degradation: cellulose;discreto;agronomico;;;
degradation: chitin;discreto;agronomico;;;
degradation: chitosan;discreto;agronomico;;;
degradation: collagen;discreto;agronomico;;;
degradation: crystalline cellulose;discreto;agronomico;;;
degradation: dna;discreto;agronomico;;;
degradation: elastin;discreto;agronomico;;;
degradation: fibrin;discreto;agronomico;;;
degradation: gelatin;discreto;agronomico;;;
degradation: glucomannan;discreto;agronomico;;;
degradation: glycogen;discreto;agronomico;;;
degradation: hydrocarbon;discreto;agronomico;;;
degradation: hydroxyethylcellulose;discreto;agronomico;;;
degradation: inulin;discreto;agronomico;;;
degradation: laminarin;discreto;agronomico;;;
degradation: lignin;discreto;agronomico;;;
degradation: milk;discreto;agronomico;;;
degradation: phenol;discreto;agronomico;;;
degradation: plastic;discreto;agronomico;;;
degradation: skimmed milk;discreto;agronomico;;;
degradation: starch;discreto;agronomico;;;
degradation: xylan;discreto;agronomico;;;
denitrification pathway;discreto;agronomico;;;
denitrification: nitrate;discreto;agronomico;;;
denitrification: nitrite;discreto;agronomico;;;
denitrification: nitrous oxide;discreto;agronomico;;;
electron acceptor: elemental sulfur;discreto;agronomico;;;
electron acceptor: fe(iii) citrate;discreto;agronomico;;;
electron acceptor: ferric citrate;discreto;agronomico;;;
electron acceptor: ferric iron;discreto;agronomico;;;
electron acceptor: ferric oxide;discreto;agronomico;;;
electron acceptor: ferrihydrite;discreto;agronomico;;;
electron acceptor: iron;discreto;agronomico;;;
electron acceptor: manganese;discreto;agronomico;;;
electron acceptor: manganese dioxide;discreto;agronomico;;;
electron acceptor: sulfate;discreto;agronomico;;;
electron acceptor: sulfite;discreto;agronomico;;;
electron acceptor: sulfur compounds;discreto;agronomico;;;
electron acceptor: tetrathionate;discreto;agronomico;;;
electron acceptor: thiosulfate;discreto;agronomico;;;
electron donor: elemental sulfur;discreto;agronomico;;;
electron donor: ferric iron;discreto;agronomico;;;
electron donor: ferrous ion;discreto;agronomico;;;
electron donor: hydrogen sulfide;discreto;agronomico;;;
electron donor: iron;discreto;agronomico;;;
electron donor: pyrite;discreto;agronomico;;;
electron donor: sulfide;discreto;agronomico;;;
energy source: methane;discreto;agronomico;;;
energy source: methanol;discreto;agronomico;;;
enzyme activity: ACC deaminase;discreto;agronomico;;;
enzyme activity: Acid phosphatase (EC3.1.3.2);discreto;agronomico;;;
enzyme activity: Ribulose-bisphosphate carboxylase (EC4.1.1.39);discreto;agronomico;;;
enzyme activity: acid phosphatase (EC3.1.3.2);discreto;agronomico;;;
enzyme activity: agarase (EC3.2.1.81);discreto;agronomico;;;
enzyme activity: alginase (EC3.2.1.16);discreto;agronomico;;;
enzyme activity: alkaline phosphatase (EC3.1.3.1);discreto;agronomico;;;
enzyme activity: alpha-Amylase (EC3.2.1.1);discreto;agronomico;;;
enzyme activity: amylase;discreto;agronomico;;;
enzyme activity: caseinase (EC3.4.21.50);discreto;agronomico;;;
enzyme activity: cellulase (EC3.2.1.4);discreto;agronomico;;;
