trait,type,group_id,group_name
enzyme activity: nitrogenase,discreto,1a,Azoto - Fixacao
enzyme activity: nitrogenase (EC1.18.6.1),discreto,1a,Azoto - Fixacao
nitrogen fixation,discreto,1a,Azoto - Fixacao
nitrogen source: dinitrogen,discreto,1a,Azoto - Fixacao
produces: dinitrogen,discreto,1a,Azoto - Fixacao
denitrification pathway,discreto,1b,Azoto - Nitrificacao
denitrification: nitrate,discreto,1b,Azoto - Nitrificacao
denitrification: nitrite,discreto,1b,Azoto - Nitrificacao
denitrification: nitrous oxide,discreto,1b,Azoto - Nitrificacao
nitrification,discreto,1b,Azoto - Nitrificacao
oxidation: ammonia,discreto,1b,Azoto - Nitrificacao
builds gas from: nitrate,discreto,1c,Azoto - Desnitrificacao/reducao
builds gas from: nitrite,discreto,1c,Azoto - Desnitrificacao/reducao
enzyme activity: nitrate reductase (EC1.7.99.4),discreto,1c,Azoto - Desnitrificacao/reducao
produces: dinitrogen oxide,discreto,1c,Azoto - Desnitrificacao/reducao
reduction: nitrate,discreto,1c,Azoto - Desnitrificacao/reducao
reduction: nitrite,discreto,1c,Azoto - Desnitrificacao/reducao
respiration: nitrate,discreto,1c,Azoto - Desnitrificacao/reducao
respiration: nitrogen,discreto,1c,Azoto - Desnitrificacao/reducao
ammonification: nitrate,discreto,1d,Azoto - Amonificacao/mineralizacao
ammonification: nitrite,discreto,1d,Azoto - Amonificacao/mineralizacao
enzyme activity: urease (EC3.5.1.5),discreto,1d,Azoto - Amonificacao/mineralizacao
hydrolysis: urea,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: ammonia,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: ammonium,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: ammonium chloride,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: ammonium nitrate,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: ammonium sulfate,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: nitrate,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: nitrite,discreto,1d,Azoto - Amonificacao/mineralizacao
nitrogen source: urea,discreto,1d,Azoto - Amonificacao/mineralizacao
produces: ammonia,discreto,1d,Azoto - Amonificacao/mineralizacao
produces: ammonium,discreto,1d,Azoto - Amonificacao/mineralizacao
produces: nitrate,discreto,1d,Azoto - Amonificacao/mineralizacao
produces: nitrite,discreto,1d,Azoto - Amonificacao/mineralizacao
aerotolerant,discreto,2,Arejamento/Oxigenio
facultative anaerobe,discreto,2,Arejamento/Oxigenio
obligate aerobic,discreto,2,Arejamento/Oxigenio
obligate anaerobic,discreto,2,Arejamento/Oxigenio
oxygen preference,discreto,2,Arejamento/Oxigenio
assimilation: agar,discreto,3a,Decomposicao - Fibra/polimeros
assimilation: alpha-cyclodextrin,discreto,3a,Decomposicao - Fibra/polimeros
assimilation: amylose,discreto,3a,Decomposicao - Fibra/polimeros
